id	label	statement	subject	speaker	speaker_job	state	party	barely_true	false	half_true	mostly_true	pants_on_fire	context
1	false	Says the Annies List political group supports third-trimester abortions on demand.	abortion	dwayne-bohac	State representative	texas	republican	1	5	4	2	0	a mailer
2	true	When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.	energy,history	scott-surovell	State delegate	virginia	democrat	0	0	1	3	0	a floor speech.
3	mostly-true	Hillary Clinton agrees with John McCain "by voting to give George Bush the benefit of the doubt on Iran."	foreign-policy	barack-obama	President	illinois	democrat	6	22	30	42	3	Denver
4	false	Health care reform legislation is likely to mandate free sex change surgeries.	health-care	blog-posting		blog posting		republican	0	2	4	1	1	a news release
5	half-true	The economic turnaround started at the end of my term.	economy	jim-edgar	former governor	illinois	republican	1	3	7	6	0	an interview on Chicago Tonight
6	mostly-true	The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.	education	robin-vos	Wisconsin Assembly speaker	wisconsin	republican	1	1	4	8	0	a radio interview
7	pants-fire	When Brookfield native Betsy DeVos was chair of the national (Republican National Committee), I was told that she was most focused on restricting voter access.	elections	chris-larson	State senator	wisconsin	democrat	1	4	3	3	4	a floor speech.
8	false	Says Rick Scott cut education spending.	education	florida-democratic-party		florida	democrat	1	9	7	4	1	an ad
9	true	Says John McCain has voted with President Bush 90 percent of the time.	voting-record	barack-obama	President	illinois	democrat	4	11	19	33	2	Denver
10	barely-true	The U.S. Congress can pass a constitutional amendment on its own, without any vote by citizens or state legislatures.	legal-issues	chain-email			none	1	2	5	4	1	a chain e-mail
11	true	"No other president since Harry Truman has taken a six-month break from holding a formal press conference."	media	jake-tapper	ABC News host		democrat	0	2	2	4	0	This Week
12	false	Says Milwaukee Mayor Tom Barrett did not have the "political will" to fully fund Milwaukees police force.	crime,public-safety	scott-walker	Wisconsin governor	wisconsin	republican	2	6	9	11	1	a press conference
13	mostly-true	Says crime rate is declining in Milwaukee.	crime	tom-barrett	Milwaukee mayor	wisconsin	democrat	0	2	8	10	0	a television ad
14	false	Social Security "was never intended to be a primary source of income" for retirees.	social-security	paul-ryan	U.S. representative	wisconsin	republican	0	7	8	11	1	a USA Today op-ed
15	true	If the Supreme Court strikes down the health care law "insurance companies could start writing lifetime limits back into their policies or they could start discriminating against children with preexisting conditions."	health-care	barack-obama	President	illinois	democrat	6	15	27	47	3	a speech
